Codigo de Compartimento;Disponible para asesoramiento con cobro implícito;Disponible para asesoramiento con cobro explícito;Focus List;ISIN;Código de compartimento;Nombre;Divisa;Hedge;Categoria SB;Categoría Morningstar;Politica de dividendos;Traspasable;Benchmark;Mínimo Inicial;Tipo Suscripción Inicial;Mínimo Adicional;Tipo Suscripción Adicional;Gastos Corrientes;Comisión Gestión;Comisión Exito;Comisión Suscripción;Comisión Reembolso;Comisión Deposito;Comisión Distribución;Rebate PB;Producto Complejo;Fecha de constitución;Patrimonio;Rent 1M;Rent YTD;Rent 12M;Rent 36M;Rent 60M;Rent 2022;Rent 2023;Rent 2024;Hora Corte *Folleto;Gestora / Emisor;URL Ficha Comercial ;URL KID PRIIPS;REQ;Concentración Actualizada a feb/2023
;Y;N;N;LU0390718277;21547;Amundi Index MSCI Pacific EX Japan SRI PAB AE-D;EUR;N;Renta Variable Pacífico;RV Pacífico (ex-Japón);D;Y;MSCI Pacific ex JPN SRI filt PAB NR EUR;0;SHARES;0;;0.3;0.15;;;;;;3.75;N;8/4/09;514,159,904 €;-4.88;-1.71;3.42;-1.42;8.51;-6.45;2.13;5;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/03bcbc1fee91dcec13137af7c2284510_362747/MR_ES_es_LU0390718277_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/1b159f48329028a1076e4c7f8b8fd4d0_149515/PRP_ES_es_LU0390718277_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;N;Y;N;LU0987207155;21547;Amundi Index MSCI Pacific EX Japan SRI PAB RE-C;EUR;N;Renta Variable Pacífico;RV Pacífico (ex-Japón);C;Y;MSCI Pacific ex JPN SRI filt PAB NR EUR;1;SHARES;0;;0.25;0.1;;;;;;0;N;4/8/14;514,159,904 €;-4.88;-1.71;3.47;-1.37;8.56;-6.4;2.18;5.06;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/bca669e63d3a6b6ac1aed3036526ec07_149523/PRP_ES_es_LU0987207155_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;N;Y;N;LU0987207239;21547;Amundi Index MSCI Pacific EX Japan SRI PAB RE-D;EUR;N;Renta Variable Pacífico;RV Pacífico (ex-Japón);D;Y;MSCI Pacific ex JPN SRI filt PAB NR EUR;1;SHARES;0;;0.25;0.1;;;;;;0;N;4/8/14;514,159,904 €;-4.87;-1.68;3.59;-1.3;8.59;-6.41;2.27;5.16;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/ca977ff354d62927a2bd54aeb6029181_149500/PRP_ES_es_LU0987207239_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;Y;N;N;LU1525412281;30772;Amundi Index Solution - AMUNDI EUR Corp BD 1-5Y ESG Idx AE Acc;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa EUR;C;Y;Bloomberg MSCI ECor1-5yESGSusSRI TR EUR;0;;0;;0.35;0.25;;;;;;6.25;N;11/29/16;939,445,488 €;-0.21;0.35;4.77;1.24;-;-8.92;6.31;4.32;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/3074aedb66e5081f227beb18afc582fe_657694/MR_ES_es_LU1525412281_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/2ab321acd3940684a12a6e85dda4eb33_152221/PRP_ES_es_LU1525412281_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;N;Y;N;LU1525412877;30772;Amundi Index Solution - AMUNDI EUR Corp BD 1-5Y ESG Idx RE Acc;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa EUR;C;Y;Bloomberg MSCI ECor1-5yESGSusSRI TR EUR;0;;0;;0.25;0.15;;;;;;0;N;8/28/19;939,445,488 €;-0.2;0.37;4.88;1.34;2.19;-8.83;6.42;4.42;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/8ac26d6a7c0b1f8f4bb8637420d0ab6a_152226/PRP_ES_es_LU1525412877_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;Y;N;Y;LU1437023085;30773;Amundi Index Solutions - Amundi Global Aggregate Bond AE-C EUR;EUR;N;Renta Fija Diversificada Global;RF Global;C;Y;Bloomberg Global Aggregate TR USD;1;SHARES;0;;0.35;0.25;;;;;;6.25;N;7/31/20;2,933,933,731 €;-2.84;-2.81;2.55;-1.99;-;-6.63;1.49;4.39;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/0a1df26157240f6c873958ef3d59a3ee_638787/MR_ES_es_LU1437023085_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/b135b360a5a5aaecc03b083deaa05900_148891/PRP_ES_es_LU1437023085_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;25;20
;N;Y;Y;LU1437023754;30773;Amundi Index Solutions - Amundi Global Aggregate Bond RU C USD;USD;N;Renta Fija Diversificada Global;RF Global;C;Y;Bloomberg Global Aggregate TR USD;0;;0;;0.25;0.15;;;;;;0;N;7/13/18;2,933,933,731 €;-2.84;-2.79;2.65;-1.89;-1.17;-10.93;1.6;4.49;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/91e574f7960fe03c5359b96e5cd2dbc1_149020/PRP_ES_es_LU1437023754_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;35;20
;N;Y;Y;LU1437023598;30773;Amundi Index Solutions - Amundi Global Aggregate Bond RU C USD RE C EUR;EUR;N;Renta Fija Diversificada Global;RF Global;C;Y;Bloomberg Global Aggregate TR USD;0;;0;;0.25;0.15;;;;;;0;N;8/29/19;2,933,933,731 €;-2.84;-2.79;2.64;-1.89;-1.15;-10.93;1.59;4.49;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/e964585a1e29dec59130944f54358373_148901/PRP_ES_es_LU1437023598_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;25;20
;Y;N;N;LU1525413685;30774;Amundi Index Solutions - Amundi Global Corp SRI 1-5Y AE-C;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa Global;C;Y;Bloomberg MSCI GblCo ESGSSRI 1-5Y TR USD;1;SHARES;0;;0.35;0.25;;;;;;6.25;N;8/13/20;406,022,647 €;-2.54;-2.25;5;2.22;-;-3.58;3.92;8.3;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/98af738867dca70c5efadc097877e6e2_656499/MR_ES_es_LU1525413685_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/8eae506e825b12167fbc024612d20644_152048/PRP_ES_es_LU1525413685_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;25;10
;N;Y;N;LU1525414659;30774;Amundi Index Solutions - Amundi Global Corp SRI 1-5Y RE-C;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa Global;C;Y;Bloomberg MSCI GblCo ESGSSRI 1-5Y TR USD;1;SHARES;0;;0.25;0.15;;;;;;0;N;7/29/20;406,022,647 €;-2.54;-2.24;5.11;2.62;-;-2.65;4.02;8.41;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/02ab5e39b7bc50770dd691b7e34eabdf_655867/MR_ES_es_LU1525414659_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/30454cb739900f0232c248c7c9576c4f_152067/PRP_ES_es_LU1525414659_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;25;10
;N;Y;N;LU1525414816;30774;Amundi Index Solutions - Amundi Global Corp SRI 1-5Y RU-C;USD;N;Renta Fija Corporativa Global;RF Deuda Corporativa Global;C;Y;Bloomberg MSCI GblCo ESGSSRI 1-5Y TR USD;1;SHARES;0;;0.25;0.15;;;;;;0;N;9/17/20;406,022,647 €;-2.54;-2.24;5.12;2.33;-;-3.48;4.02;8.42;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/601047f016ed333f0164810d0d93a0d2_152041/PRP_ES_es_LU1525414816_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;35;10
;Y;N;N;LU1050469367;29905;Amundi Index Solutions - Amundi Index Euro Corporate SRI AE-C;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa EUR;C;Y;Bloomberg MSCI Euro CESG Sus SRI TR EUR;1;SHARES;0;;0.35;0.2;;;;;;5;N;4/14/14;6,562,315,257 €;-1.26;-0.36;4.03;0.26;1.55;-13.48;6.85;4.27;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/515eab5b2df16f1bfce959f30e14c0f5_1702946/MR_ES_es_LU1050469367_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/3a320b3d2420e700b7be9f0023710610_152895/PRP_ES_es_LU1050469367_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;Y;N;N;LU1050469441;29905;Amundi Index Solutions - Amundi Index Euro Corporate SRI AE-D;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa EUR;D;Y;Bloomberg MSCI Euro CESG Sus SRI TR EUR;1;SHARES;0;;0.35;0.2;;;;;;5;N;4/14/14;6,562,315,257 €;-1.26;-0.35;4.03;0.26;1.55;-13.49;6.84;4.27;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/515eab5b2df16f1bfce959f30e14c0f5_1702946/MR_ES_es_LU1050469441_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/e5efe44c7ce6ad924c16c2ab8e97f7bf_152875/PRP_ES_es_LU1050469441_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;N;Y;N;LU1050469524;29905;Amundi Index Solutions - Amundi Index Euro Corporate SRI RE-C;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa EUR;C;Y;Bloomberg MSCI Euro CESG Sus SRI TR EUR;1;SHARES;0;;0.25;0.1;;;;;;0;N;4/14/14;6,562,315,257 €;-1.26;-0.33;4.13;0.36;1.65;-13.4;6.95;4.38;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/e49fa6cb07af538e4c20a2e90f6c7d1c_152888/PRP_ES_es_LU1050469524_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;N;Y;N;LU1050469797;29905;Amundi Index Solutions - Amundi Index Euro Corporate SRI RE-D;EUR;N;Renta Fija Corporativa Global;RF Deuda Corporativa EUR;D;Y;Bloomberg MSCI Euro CESG Sus SRI TR EUR;1;SHARES;0;;0.25;0.1;;;;;;0;N;4/14/14;6,562,315,257 €;-1.24;-0.31;4.28;0.43;1.71;-13.36;7;4.5;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/8d53e4d4bb44a8646ceceff27e82e8c1_152880/PRP_ES_es_LU1050469797_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;Y;N;N;LU1328852659;29906;Amundi Index Solutions - Amundi Index FTSE EPRA NAREIT Global AE-C;EUR;N;Renta Variable Sectorial Global;Imobiliário Indirecto Global;C;Y;FTSE EPRA Nareit Developed NR EUR;1;SHARES;0;;0.34;0.15;;;;;;3.75;N;12/11/15;864,116,179 €;-5.54;-3.38;6.74;-3.47;8.81;-20.39;5.85;7.53;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/418c8451d9c6651fa58307902ba8ad7f_2534256/MR_ES_es_LU1328852659_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/87a015ddccc00c8792d17d3488e6d7ac_148760/PRP_ES_es_LU1328852659_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;Y;N;N;LU1328852493;29906;Amundi Index Solutions - Amundi Index FTSE EPRA NAREIT Global AE-D;EUR;N;Renta Variable Sectorial Global;Imobiliário Indirecto Global;D;Y;FTSE EPRA Nareit Developed NR EUR;1;SHARES;0;;0.34;0.15;;;;;;3.75;N;4/13/16;864,116,179 €;-5.53;-3.39;6.74;-3.47;8.81;-20.39;5.83;7.55;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/418c8451d9c6651fa58307902ba8ad7f_2534256/MR_ES_es_LU1328852493_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/fb18f66cf249d32d23af54d90f5c3603_148752/PRP_ES_es_LU1328852493_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;Y;N;N;LU1328852220;29906;Amundi Index Solutions - Amundi Index FTSE EPRA NAREIT Global AU-C;USD;N;Renta Variable Sectorial Global;Imobiliário Indirecto Global;C;Y;FTSE EPRA Nareit Developed NR EUR;1;SHARES;0;;0.34;0.15;;;;;;3.75;N;4/13/16;864,116,179 €;-5.54;-3.39;6.75;-3.47;8.81;-20.38;5.84;7.54;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/2ea4c0ea1e894a06482ba880a9570a2e_2540089/MR_ES_es_LU1328852220_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/204c0d29aae8353521d08a45c6129537_148881/PRP_ES_es_LU1328852220_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;75;10
;Y;N;N;LU1328852147;29906;Amundi Index Solutions - Amundi Index FTSE EPRA NAREIT Global AU-D;USD;N;Renta Variable Sectorial Global;Imobiliário Indirecto Global;D;Y;FTSE EPRA Nareit Developed NR EUR;1;SHARES;0;;0.34;0.15;;;;;;3.75;N;4/13/16;864,116,179 €;-5.54;-3.39;6.78;-3.46;8.81;-20.36;5.82;7.56;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/2ea4c0ea1e894a06482ba880a9570a2e_2540089/MR_ES_es_LU1328852147_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/e7e74e5b16e4b532f12700d6b2fd99c2_148861/PRP_ES_es_LU1328852147_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;75;10
;N;Y;N;LU1328853384;29906;Amundi Index Solutions - Amundi Index FTSE EPRA NAREIT Global RE-C;EUR;N;Renta Variable Sectorial Global;Imobiliário Indirecto Global;C;Y;FTSE EPRA Nareit Developed NR EUR;0;SHARES;0;;0.29;0.1;;;;;;0;N;4/13/16;864,116,179 €;-5.54;-3.38;6.79;-3.42;8.87;-20.34;5.89;7.59;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/ac4dda379420e32451bf21d8e5108e9d_2582094/MR_ES_es_LU1328853384_RES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/2f0468c9643324a03ba0f3447981bfdf_148777/PRP_ES_es_LU1328853384_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;N;Y;N;LU1328853202;29906;Amundi Index Solutions - Amundi Index FTSE EPRA NAREIT Global RE-D;EUR;N;Renta Variable Sectorial Global;Imobiliário Indirecto Global;D;Y;FTSE EPRA Nareit Developed NR EUR;1;SHARES;0;;0.29;0.1;;;;;;0;N;4/13/16;864,116,179 €;-5.53;-3.38;6.97;-3.34;9.01;-20.35;5.88;7.87;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/ac4dda379420e32451bf21d8e5108e9d_2582094/MR_ES_es_LU1328853202_RES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/74e2d02bc7025f327db897336b89e27c_148733/PRP_ES_es_LU1328853202_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;Y;N;N;LU0389812933;29912;Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies AHE-C;EUR;Y;Renta Fija Gobierno Global;RF Deuda Publica Global - Cubierto EUR;C;Y;JPM GBI Global TR EUR;1;SHARES;0;;0.35;0.2;;;;;;5;N;9/25/08;3,693,110,739 €;0.18;0.23;1.46;-2.73;-2.44;-14.26;3.14;-0.43;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/29e5746198124a9ae98af64c6b711167_666853/MR_ES_es_LU0389812933_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/72c4ee3f5f85a1d62b4c2d48db07d94b_148839/PRP_ES_es_LU0389812933_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;Y;N;N;LU0389813071;29912;Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies AHE-D;EUR;Y;Renta Fija Gobierno Global;RF Deuda Publica Global - Cubierto EUR;D;Y;JPM GBI Global TR EUR;1;SHARES;0;;0.35;0.2;;;;;;5;N;5/18/09;3,693,110,739 €;0.18;0.23;1.47;-2.73;-2.44;-14.26;3.14;-0.43;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/29e5746198124a9ae98af64c6b711167_666853/MR_ES_es_LU0389813071_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/a88ed8efca0e0d36100dadfaa6a7d337_148814/PRP_ES_es_LU0389813071_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
;N;Y;N;LU1435162968;29912;Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies RE C EUR;EUR;N;Renta Fija Gobierno Global;RF Deuda Publica Global;C;Y;JPM GBI Global TR EUR;0;;0;;0.25;0.1;;;;;;0;N;9/13/18;3,693,110,739 €;-2.67;-2.68;1.48;-3.25;-2.78;-12.07;0.46;2.6;1200;Amundi Luxembourg S A;;https://api.fundinfo.com/document/b9881da29c01a78253b846d392751e12_149001/PRP_ES_es_LU1435162968_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;30;10
;N;Y;N;LU0987207585;29912;Amundi Index Solutions - Amundi Index J.P. Morgan GBI Global Govies RHE-C;EUR;Y;Renta Fija Gobierno Global;RF Deuda Publica Global - Cubierto EUR;C;Y;JPM GBI Global TR EUR;0;SHARES;0;;0.25;0.1;;;;;;0;N;4/8/14;3,693,110,739 €;0.19;0.25;1.56;-2.63;-2.34;-14.17;3.24;-0.34;1200;Amundi Luxembourg S A;https://api.fundinfo.com/document/ce18e706b8a3b8b8cb76e8f825610cea_669364/MR_ES_es_LU0987207585_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/e8caaedfac4adf8a722d17fc2f225959_148847/PRP_ES_es_LU0987207585_YES_2024-12-13.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;20;10
